,Attack,SynBA_Annotation,TextFooler_Annotation,BAE_Annotation
10,<font color = green>POS (99.83%)</font> --> <font color = red>NEG (99.85%)</font> </br></br> <b>Original:</b> <font color = green>great</font> character interaction . </br></br> <b>SynBA:</b> <font color = red>prodigious</font> character interaction . </br></br> <b>TextFooler:</b> <font color = red>gargantuan</font> character interaction . </br></br> <b>BAE:</b> <font color = red>mixed</font> character interaction .,CONSISTENT,CONSISTENT,UNCLEAR
11,<font color = red>NEG (99.95%)</font> --> <font color = green>POS (83.04%)</font> </br></br> <b>Original:</b> perhaps even the slc high command <font color = red>found</font> writer-director mitch davis's wall of kitsch <font color = red>hard</font> <font color = red>going</font> . </br></br> <b>SynBA:</b> perhaps even the slc high command <font color = green>noted</font> writer-director mitch davis's wall of kitsch <font color = green>rigorous</font> <font color = green>goes</font> . </br></br> <b>TextFooler:</b> perhaps even the slc high command found writer-director mitch davis's wall of kitsch <font color = green>ferocious</font> going . </br></br> <b>BAE:</b> perhaps even the slc high command found writer-director mitch davis's wall of kitsch <font color = green>good</font> going .,CONSISTENT,CONSISTENT,INCONSISTENT
12,<font color = green>POS (99.96%)</font> --> <font color = red>NEG (60.41%)</font> </br></br> <b>Original:</b> a <font color = green>passionately</font> inquisitive <font color = green>film</font> determined to uncover the truth and <font color = green>hopefully</font> <font color = green>inspire</font> action . </br></br> <b>SynBA:</b> a <font color = red>impatiently</font> inquisitive <font color = red>moviemaking</font> determined to uncover the truth and <font color = red>luckily</font> <font color = red>boost</font> action . </br></br> <b>TextFooler:</b> a <font color = red>impatiently</font> inquisitive <font color = red>kino</font> <font color = red>checked</font> to <font color = red>betrays</font> the <font color = red>vera</font> and <font color = red>fortunately</font> <font color = red>boosting</font> action . </br></br> <b>BAE:</b> a passionately inquisitive <font color = red>guy</font> determined to <font color = red>hide</font> the truth and <font color = red>never</font> <font color = red>took</font> action .,CONSISTENT,UNCLEAR,INCONSISTENT
13,"<font color = green>POS (94.62%)</font> --> <font color = red>NEG (61.04%)</font> </br></br> <b>Original:</b> <font color = green>hey</font> , happy ! is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love <font color = green>story</font> as sanguine as its title . </br></br> <b>SynBA:</b> <font color = red>goodbye</font> , happy ! is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love <font color = red>myth</font> as sanguine as its title . </br></br> <b>TextFooler:</b> hey , happy ! is <font color = red>sizable</font> <font color = red>issues</font> -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as sanguine as its title . </br></br> <b>BAE:</b> hey , happy ! is <font color = red>pretty</font> <font color = red>boring</font> -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as sanguine as its title .",CONSISTENT,UNCLEAR,INCONSISTENT
14,"<font color = red>NEG (99.85%)</font> --> <font color = green>POS (83.65%)</font> </br></br> <b>Original:</b> ninety minutes of viva castro ! can be as <font color = red>tiresome</font> as 9 seconds of jesse helms' anti- castro rhetoric , which are included </br></br> <b>SynBA:</b> ninety minutes of viva castro ! can be as <font color = green>uninspiring</font> as 9 seconds of jesse helms' anti- castro rhetoric , which are included </br></br> <b>TextFooler:</b> ninety minutes of viva castro ! can be as <font color = green>uninspiring</font> as 9 seconds of jesse helms' anti- castro rhetoric , which are included </br></br> <b>BAE:</b> ninety minutes of viva castro ! can be as <font color = green>extensive</font> as 9 seconds of jesse helms' anti- castro rhetoric , which are included",CONSISTENT,CONSISTENT,CONSISTENT
15,<font color = green>POS (99.2%)</font> --> <font color = red>NEG (62.08%)</font> </br></br> <b>Original:</b> gambling and throwing a basketball game for money isn't a new plot -- in <font color = green>fact</font> toback himself used it in black and white . but toback's deranged immediacy <font color = green>makes</font> it seem fresh again . </br></br> <b>SynBA:</b> gambling and throwing a basketball game for money isn't a new plot -- in <font color = red>actuality</font> toback himself used it in black and white . but toback's deranged immediacy <font color = red>doing</font> it seem fresh again . </br></br> <b>TextFooler:</b> gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy <font color = red>assumes</font> it seem fresh again . </br></br> <b>BAE:</b> gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy <font color = red>doesn</font> it seem fresh again .,CONSISTENT,CONSISTENT,CONSISTENT
16,"<font color = red>NEG (99.92%)</font> --> <font color = green>POS (67.52%)</font> </br></br> <b>Original:</b> `martin lawrence live' is so self-pitying , i <font color = red>almost</font> <font color = red>expected</font> there to be a <font color = red>collection</font> <font color = red>taken</font> for the <font color = red>comedian</font> at the end of the show . </br></br> <b>SynBA:</b> `martin lawrence live' is so self-pitying , i <font color = green>scarcely</font> <font color = green>waits</font> there to be a <font color = green>congregate</font> <font color = green>carried</font> for the <font color = green>pretender</font> at the end of the show . </br></br> <b>TextFooler:</b> `martin <font color = green>laurence</font> live' is <font color = green>yet</font> self-pitying , i almost <font color = green>expect</font> there to <font color = green>are</font> a <font color = green>gathering</font> <font color = green>harvest</font> for the <font color = green>comedians</font> at the <font color = green>concludes</font> of the <font color = green>exposition</font> . </br></br> <b>BAE:</b> `martin lawrence live' is so <font color = green>great</font> , i almost expected there to be a collection taken for the comedian at the end of the show .",CONSISTENT,CONSISTENT,INCONSISTENT
17,<font color = red>NEG (99.87%)</font> --> <font color = green>POS (50.12%)</font> </br></br> <b>Original:</b> ultimately this is a <font color = red>frustrating</font> patchwork : an <font color = red>uneasy</font> marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay . </br></br> <b>SynBA:</b> ultimately this is a <font color = green>disenchanted</font> patchwork : an <font color = green>uncomfortable</font> marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay . </br></br> <b>TextFooler:</b> ultimately this is a <font color = green>unnerving</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay . </br></br> <b>BAE:</b> ultimately this is a <font color = green>wonderful</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,CONSISTENT,CONSISTENT,INCONSISTENT
18,<font color = green>POS (99.56%)</font> --> <font color = red>NEG (87.09%)</font> </br></br> <b>Original:</b> one of [jaglom's] better efforts -- a wry and sometime <font color = green>bitter</font> movie about love . </br></br> <b>SynBA:</b> one of [jaglom's] better efforts -- a wry and sometime <font color = red>stiff</font> movie about love . </br></br> <b>TextFooler:</b> one of [jaglom's] better efforts -- a <font color = red>snide</font> and sometime bitter movie about love . </br></br> <b>BAE:</b> one of [jaglom's] better efforts -- a <font color = red>crude</font> and sometime bitter movie about love .,CONSISTENT,INCONSISTENT,INCONSISTENT
19,"<font color = green>POS (99.85%)</font> --> <font color = red>NEG (99.86%)</font> </br></br> <b>Original:</b> an enormously entertaining movie , like nothing we've ever seen before , and yet completely <font color = green>familiar</font> . </br></br> <b>SynBA:</b> an enormously entertaining movie , like nothing we've ever seen before , and yet completely <font color = red>mundane</font> . </br></br> <b>TextFooler:</b> an enormously <font color = red>fooling</font> movie , like nothing we've ever seen before , and yet completely familiar . </br></br> <b>BAE:</b> an enormously <font color = red>boring</font> movie , like nothing we've ever seen before , and yet completely familiar .",INCONSISTENT,INCONSISTENT,INCONSISTENT
20,<font color = green>POS (98.41%)</font> --> <font color = red>NEG (93.08%)</font> </br></br> <b>Original:</b> about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is <font color = green>basically</font> a matter of <font color = green>taste</font> . </br></br> <b>SynBA:</b> about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is <font color = red>massively</font> a matter of <font color = red>aftertaste</font> . </br></br> <b>TextFooler:</b> about the best thing you could say about narc is that it's a rock-solid little <font color = red>type</font> picture . whether you like it or not is basically a matter of taste . </br></br> <b>BAE:</b> about the best thing you could say about narc is that it's a <font color = red>simple</font> little genre picture . whether you like it or not is basically a matter of taste .,CONSISTENT,CONSISTENT,CONSISTENT
21,<font color = green>POS (99.88%)</font> --> <font color = red>NEG (87.37%)</font> </br></br> <b>Original:</b> the engagingly <font color = green>primitive</font> animated special effects contribute to a mood that's <font color = green>sustained</font> through the surprisingly <font color = green>somber</font> conclusion . </br></br> <b>SynBA:</b> the engagingly <font color = red>rustic</font> animated special effects contribute to a mood that's <font color = red>lingering</font> through the surprisingly <font color = red>disappointing</font> conclusion . </br></br> <b>TextFooler:</b> the engagingly <font color = red>rough</font> <font color = red>boosted</font> <font color = red>sole</font> effects contribute to a <font color = red>lighthearted</font> that's <font color = red>protracted</font> through the surprisingly <font color = red>disappointing</font> <font color = red>shuts</font> . </br></br> <b>BAE:</b> the <font color = red>generally</font> primitive animated special effects contribute to a mood <font color = red>iness</font> sustained through the surprisingly somber conclusion .,INCONSISTENT,UNCLEAR,CONSISTENT
22,"<font color = green>POS (99.91%)</font> --> <font color = red>NEG (85.82%)</font> </br></br> <b>Original:</b> affable if not timeless , like mike raises some worthwhile themes while <font color = green>delivering</font> a wholesome fantasy for kids . </br></br> <b>SynBA:</b> affable if not timeless , like mike raises some worthwhile themes while <font color = red>offered</font> a wholesome fantasy for kids . </br></br> <b>TextFooler:</b> affable if not timeless , like mike raises some worthwhile themes while <font color = red>offered</font> a wholesome fantasy for kids . </br></br> <b>BAE:</b> affable if not timeless , like mike raises some worthwhile themes while <font color = red>being</font> a wholesome fantasy for kids .",CONSISTENT,CONSISTENT,CONSISTENT
23,<font color = red>NEG (99.91%)</font> --> <font color = green>POS (98.26%)</font> </br></br> <b>Original:</b> cattaneo reworks the formula that made the full monty a smashing success . . . but <font color = red>neglects</font> to add the magic that made it all work . </br></br> <b>SynBA:</b> cattaneo reworks the formula that made the full monty a smashing success . . . but <font color = green>flout</font> to add the magic that made it all work . </br></br> <b>TextFooler:</b> cattaneo reworks the formula that made the full monty a smashing success . . . but <font color = green>unheeded</font> to add the magic that made it all work . </br></br> <b>BAE:</b> cattaneo reworks the formula that made the full monty a smashing success . . . but <font color = green>tried</font> to add the magic that made it all work .,CONSISTENT,CONSISTENT,CONSISTENT
24,<font color = red>NEG (99.96%)</font> --> <font color = green>POS (99.04%)</font> </br></br> <b>Original:</b> the spalding gray <font color = red>equivalent</font> of a <font color = red>teen</font> gross-out comedy . </br></br> <b>SynBA:</b> the spalding gray <font color = green>equals</font> of a <font color = green>young</font> gross-out comedy . </br></br> <b>TextFooler:</b> the spalding <font color = green>grays</font> <font color = green>equals</font> of a teen gross-out <font color = green>entertaining</font> . </br></br> <b>BAE:</b> the spalding gray <font color = green>best</font> of a teen gross-out comedy .,CONSISTENT,CONSISTENT,INCONSISTENT
